mzML_file	polarity	time	storage	replicate	time_stamp	injection_idx
20170803_2h_RT_c_NEG.mzML	NEG	2h	RT	c	2017-08-03 10:51:35	4
20170803_3d_RT_a_NEG.mzML	NEG	3d	RT	a	2017-08-03 11:03:21	5
20170803_6h_BAG_b_NEG.mzML	NEG	6h	BAG	b	2017-08-03 11:12:06	6
20170803_1d_BAG_c_NEG.mzML	NEG	1d	BAG	c	2017-08-03 11:23:52	7
20170803_2d_RT_c_NEG.mzML	NEG	2d	RT	c	2017-08-03 11:32:35	8
20170803_2d_RT_a_NEG.mzML	NEG	2d	RT	a	2017-08-03 11:44:22	9
20170803_QC_2_NEG.mzML	NEG	QC	QC		2017-08-03 11:53:06	10
20170803_6h_RT_b_NEG.mzML	NEG	6h	RT	b	2017-08-03 12:04:49	11
20170803_2w_RT_c_NEG.mzML	NEG	2w	RT	c	2017-08-03 12:13:32	12
20170803_1w_4C_VACUM_b_NEG.mzML	NEG	1w	4C_VACUUM	b	2017-08-03 12:25:20	13
20170803_6h_4C_BAG_c_NEG.mzML	NEG	6h	4C_BAG	c	2017-08-03 12:34:04	14
20170803_1w_RT_a_NEG.mzML	NEG	1w	RT	a	2017-08-03 12:45:50	15
20170803_1w_BAG_b_NEG.mzML	NEG	1w	BAG	b	2017-08-03 12:54:33	16
20170803_3d_RT_c_NEG.mzML	NEG	3d	RT	c	2017-08-03 13:06:20	17
20170803_2d_BAG_a_NEG.mzML	NEG	2d	BAG	a	2017-08-03 13:15:05	18
20170803_QC_3_NEG.mzML	NEG	QC	QC		2017-08-03 13:26:48	19
20170803_6h_BAG_a_NEG.mzML	NEG	6h	BAG	a	2017-08-03 13:35:33	20
20170803_2w_4C_BAG_b_NEG.mzML	NEG	2w	4C_BAG	b	2017-08-03 13:47:15	21
20170803_1w_VACUM_b_NEG.mzML	NEG	1w	VACUUM	b	2017-08-03 13:56:00	22
20170803_1w_4C_BAG_c_NEG.mzML	NEG	1w	4C_BAG	c	2017-08-03 14:07:47	23
20170803_1w_4C_VACUM_c_NEG.mzML	NEG	1w	4C_VACUUM	c	2017-08-03 14:16:31	24
20170803_1w_BAG_c_NEG.mzML	NEG	1w	BAG	c	2017-08-03 14:28:18	25
20170803_2d_4C_BAG_a_NEG.mzML	NEG	2d	4C_BAG	a	2017-08-03 14:37:02	26
20170803_2d_4C_BAG_c_NEG.mzML	NEG	2d	4C_BAG	c	2017-08-03 14:48:45	27
20170803_QC_4_NEG.mzML	NEG	QC	QC		2017-08-03 14:57:30	28
20170803_1w_RT_b_NEG.mzML	NEG	1w	RT	b	2017-08-03 15:09:12	29
20170803_2w_BAG_a_NEG.mzML	NEG	2w	BAG	a	2017-08-03 15:17:56	30
20170803_3d_4C_VACUM_c_NEG.mzML	NEG	3d	4C_VACUUM	c	2017-08-03 15:29:41	31
20170803_1d_4C_BAG_c_NEG.mzML	NEG	1d	4C_BAG	c	2017-08-03 15:38:25	32
20170803_6h_VACUM_c_NEG.mzML	NEG	6h	VACUUM	c	2017-08-03 15:50:11	33
20170803_1d_4C_VACUM_c_NEG.mzML	NEG	1d	4C_VACUUM	c	2017-08-03 15:58:55	34
20170803_2d_VACUM_a_NEG.mzML	NEG	2d	VACUUM	a	2017-08-03 16:10:39	35
20170803_6h_BAG_c_NEG.mzML	NEG	6h	BAG	c	2017-08-03 16:19:22	36
20170803_QC_5_NEG.mzML	NEG	QC	QC		2017-08-03 16:31:09	37
