"name"	"rt_width"	"mz_width"	"mz_width_ppm"	"mz_ppm"	"multi_pk_count"	"QC"	"X4C_VACUUM"	"RT"	"BAG"	"X4C_BAG"	"VACUUM"	"delta_rt"
"alpha-Lactose"	5.84522499999825	0.00289934583996896	7.94110543619981	1.86956061130381	25	0	55.5555555555556	66.6666666666667	44.4444444444444	66.6666666666667	61.1111111111111	-2
"AMP"	10.1159999999949	0.000674940572773288	1.93909023889866	1.29775817682144	0	100	100	100	100	100	100	-5
"Arginine"	5.58012727272873	0.000491099956863133	2.80438205544058	1.06605808048052	5	100	100	100	100	100	100	-2
"Asparagine"	5.78475238095486	0.000257135450699696	1.93246674170913	0.797907011730193	0	100	100	100	100	100	100	-2
"Betaine"	9.68683006536275	0.000926843053913348	7.84887413757928	1.42669957509072	41	100	100	100	100	100	100	-6
"C5 Carnitine"	7.53318750000187	0.00593629002578666	24.1152264314115	13.4489887457063	3	83.3333333333333	5.55555555555556	19.047619047619	27.7777777777778	33.3333333333333	16.6666666666667	0
"Caffeine"	4.10832110091798	0.00159494495447488	8.17548315355868	3.71277974080916	4	100	100	100	100	100	100	-1
"Carnosine"	4.65096226415264	0.00144448158942032	6.36015700679444	1.44914270956863	2	100	100	100	100	100	94.4444444444444	-6
"CDP-choline"	4.092	0.00151038138208529	3.08798467378152	1.94064966295496	0	0	5.55555555555556	0	0	0	11.1111111111111	-2
"Choline"	16.5978068181869	0.000539263816044088	5.17989712393689	1.58251926790272	71	100	100	100	100	100	100	-1
"Citrulline"	6.52073333333543	0.000302210056570186	1.71609871836131	0.745128409558043	0	100	100	100	100	100	100	-2
"Corticosterone"	5.24933505154825	0.00544550166901646	15.6834329828141	36.933111935841	64	100	94.4444444444444	100	100	100	100	-7
"Creatinine"	9.38719626167776	0.000775260682457729	6.79659567915972	1.5269036955846	16	83.3333333333333	94.4444444444444	90.4761904761905	83.3333333333333	88.8888888888889	77.7777777777778	0
"dGDP"	29.76463888889	0.00178812016888388	4.1774875485719	1.26273132718404	0	100	55.5555555555556	61.9047619047619	77.7777777777778	55.5555555555556	72.2222222222222	-20
"dGMP"	10.1159999999949	0.000674940572773288	1.93909023889866	1.29775817682144	0	100	100	100	100	100	100	-18
"Dihydroxyacetone phosphate"	6.10235897435692	0.00105865822380061	6.19078760807875	1.29779009363518	1	0	16.6666666666667	57.1428571428571	44.4444444444444	44.4444444444444	38.8888888888889	-17
"Fructose"	6.9884201183471	0.00112487300591793	5.5398085092048	0.917059757491034	61	100	100	100	100	100	100	10
"Galactitol"	5.57766071428822	0.00179166786814149	8.73682670250006	4.66238053721568	7	100	100	100	100	100	100	-4
"Gluconic Acid"	4.115500000005	0.00142329081061376	6.49765000793084	1.99137989388725	0	0	0	4.76190476190476	5.55555555555556	11.1111111111111	0	-3
